Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~5v.PrjPcb|ReportField=ProjectFullPath~F:\Dropbox\DropBox Erick\ESIME\6to Semestre\Electronica Lineal\Fuente Lineal\5v.PrjPcb|ReportField=Title~Bill of Materials For Project [5v.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~30|ReportField=ReportTime~03:22:04 a.m.|ReportField=ReportDate~17/03/2014|ReportField=ReportDateTime~17/03/2014 03:22:04 a.m.|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~17/03/2014|ReportField=CurrentTime~03:22:01 a.m.|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Dropbox\DropBox Erick\ESIME\6to Semestre\Electronica Lineal\Fuente Lineal\5v.SchDoc|ReportField=DocumentName~5v.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Erick|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17/03/2014|ReportField=Organization~ESIME|ReportField=ProjectName~5v.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Fuente Lineal 5v 10A|ReportField=DataSourceFileName~5v.PrjPcb|ReportField=DataSourceFullPath~F:\Dropbox\DropBox Erick\ESIME\6to Semestre\Electronica Lineal\Fuente Lineal\5v.PrjPcb
Cap Pol2|Polarized Capacitor (Radial)|C4|RAD-0.4|Cap Pol1|1
Cap Pol1|Polarized Capacitor (Radial)|C5, C6, C10, C11|RB7.6-15|Cap Pol1|4
Cap Pol1|Polarized Capacitor (Radial)|C7|Cap6800u|Cap Pol1|1
Cap Tan|Polarized Capacitor (Axial)|C8, Ct2|RAD-0.3|Cap Pol2|2
Cap Pol2|Polarized Capacitor (Radial)|C9|RAD-0.3|Cap Pol1|1
Cap Tan|Polarized Capacitor (Axial)|Ct3|RAD-0.4|Cap Pol2|1
Bridge2|Diode Bridge|D1|PCBComponent_1|Bridge2|1
Diodo|3 Amp Medium Power Silicon Rectifier Diode|D2, D3|SuperDiodo|Diode 1N5408|2
1mH||L1, L2, L3|Bobina|Bobina|3
CA||P1|cONECTOR|Component_1|1
Entrada||P2|cONECTOR|Component_1|1
CD||P3, P5|cONECTOR|Component_1|2
Tierra||P4|cONECTOR|Component_1|1
||P6|cONECTOR|Component_1|1
TO-3|PNP Bipolar Transistor|Q1, Q2|to3|PNP|2
Res111|Resistor|R1|AXIAL-0.9|Res1|1
33 5W|Resistor|R2|AXIAL-0.9|Res1|1
RPot|Potentiometer|R3|VR5|RPot|1
Res1|Resistor|R4|AXIAL-0.3|Res1|1
7805|Voltage Regulator|VR1|HEATSINK|Volt Reg|1
LM317|Voltage Regulator|VR2|HEATSINK|Volt Reg|1
